Seconds lapsed,tank level,tank inflow
4180,1065,21.767824172973633
4190,1045,18.075788497924805
4200,1012,16.742998123168945
4210,1067,25.560016632080078
4220,1066,19.909414291381836
4230,1079,21.392555236816406
4240,1025,14.679100036621094
4250,1008,18.324054718017578
4260,969,16.145849227905273
4270,990,22.15279197692871
4280,1014,22.416362762451172
4290,1035,22.159381866455078
4300,1055,22.08525848388672
4310,1028,17.34231948852539
4320,1075,24.75556755065918
4330,1085,21.060882568359375
4340,1055,17.000240325927734
4350,1073,21.871078491210938
4360,999,12.638875961303711
4370,1007,20.889585494995117
4380,1047,24.033252716064453
4390,1044,19.720823287963867
4400,1031,18.703065872192383
4410,1025,19.45514678955078
4420,1027,20.22736930847168
4430,1033,20.661653518676758
4440,1055,22.20513343811035
4450,1057,20.23124885559082
4460,1096,23.994853973388672
4470,1040,14.492278099060059
4480,1054,21.455421447753906
4490,1092,23.821428298950195
4500,1079,18.793167114257813
4510,1057,17.838834762573242
4520,1016,15.931581497192383
4530,1029,21.349729537963867
4540,1033,20.495494842529297
4550,1056,22.351337432861328
4560,1068,21.20151710510254
4570,1052,18.455909729003906
4580,1030,17.872461318969727
4590,1026,19.669437408447266
4600,1013,18.778745651245117
4610,1017,20.46388816833496
4620,961,14.415651321411133
4630,1005,24.465471267700195
4640,1033,22.874267578125
4650,1054,22.15087127685547
4660,1097,24.309608459472656
4670,1066,16.963037490844727
4680,1081,21.595678329467773
4690,1083,20.265583038330078
4700,1118,23.53834342956543
4710,1103,18.5839786529541
4720,1127,22.427539825439453
4730,1174,24.747285842895508
4740,1226,25.22780990600586
4750,1186,16.028583526611328
4760,1224,23.812793731689453
4770,1223,19.989669799804688
4780,1221,19.829898834228516
4790,1182,16.14822006225586
4800,1237,25.570714950561523
4810,1278,24.134502410888672
4820,1268,19.012245178222656
4830,1265,19.75798225402832
4840,1268,20.314054489135742
4850,1235,16.755374908447266
4860,1233,19.877511978149414
4870,1188,15.572705268859863
4880,1153,16.51885986328125
4890,1152,19.945829391479492
4900,1166,21.418607711791992
4910,1202,23.67732810974121
4920,1195,19.376115798950195
4930,1225,23.041484832763672
4940,1292,26.768648147583008
4950,1330,23.830595016479492
4960,1328,19.804479598999023
4970,1391,26.304208755493164
4980,1423,23.227108001708984
4990,1408,18.533876419067383
5000,1425,21.741193771362305
5010,1440,21.525882720947266
5020,1432,19.225765228271484
5030,1441,20.97311019897461
5040,1410,16.996795654296875
5050,1461,25.172042846679688
5060,1425,16.446182250976563
5070,1402,17.78321075439453
5080,1368,16.60687828063965
5090,1371,20.385814666748047
5100,1400,22.936588287353516
5110,1379,17.90373992919922
5120,1421,24.279067993164063
5130,1448,22.737445831298828
5140,1428,18.045482635498047
5150,1383,15.597992897033691
5160,1379,19.619142532348633
5170,1384,20.55782699584961
5180,1392,20.86246109008789
5190,1413,22.131362915039063
5200,1405,19.21530532836914
5210,1455,25.05495834350586
5220,1471,21.612714767456055
5230,1509,23.874515533447266
5240,1510,20.124906539916992
5250,1541,23.11318016052246
5260,1551,21.084707260131836
5270,1534,18.310739517211914
5280,1522,18.845548629760742
5290,1552,23.008852005004883
5300,1572,22.053491592407227
5310,1617,24.56237030029297
5320,1551,13.420723915100098
5330,1555,20.41682243347168
5340,1560,20.55267906188965
5350,1559,19.947389602661133
5360,1638,27.90155792236328
5370,1645,20.738849639892578
5380,1684,23.972618103027344
5390,1691,20.714204788208008
5400,1707,21.64969253540039
5410,1706,19.996335983276367
5420,1726,22.048845291137695
5430,1733,20.768993377685547
5440,1719,18.627180099487305
5450,1695,17.666847229003906
5460,1707,21.254030227661133
5470,1709,20.267194747924805
5480,1740,23.159584045410156
5490,1782,24.252803802490234
5500,1758,17.656185150146484
5510,1736,17.866718292236328
5520,1723,18.711576461791992
5530,1684,16.165828704833984
5540,1654,17.02460479736328
5550,1659,20.58203887939453
5560,1662,20.347291946411133
5570,1678,21.631742477416992
5580,1637,15.986028671264648
5590,1631,19.420515060424805
5600,1646,21.56519317626953
5610,1645,19.99623680114746
5620,1640,19.590354919433594
5630,1649,20.932926177978516
5640,1682,23.33331871032715
5650,1713,23.18980598449707
5660,1661,14.824237823486328
5670,1645,18.452266693115234
5680,1654,20.954275131225586
5690,1666,21.212419509887695
5700,1702,23.677217483520508
5710,1698,19.645898818969727
5720,1709,21.137664794921875
5730,1664,15.56224250793457
5740,1613,14.937274932861328
5750,1616,20.399215698242188
5760,1660,24.453861236572266
5770,1685,22.530010223388672
5780,1656,17.13506507873535
5790,1703,24.707096099853516
5800,1691,18.843685150146484
5810,1732,24.121152877807617
5820,1743,21.147960662841797
5830,1730,18.755990982055664
5840,1720,19.031707763671875
5850,1713,19.348527908325195
5860,1680,16.775264739990234
5870,1664,18.40840721130371
5880,1675,21.15703010559082
5890,1662,18.771060943603516
5900,1712,25.003585815429688
5910,1748,23.691022872924805
5920,1689,14.133018493652344
5930,1775,28.604806900024414
5940,1780,20.5292911529541
5950,1763,18.328205108642578
5960,1789,22.610136032104492
5970,1856,26.71674346923828
5980,1884,22.83932113647461
5990,1864,18.006135940551758
6000,1853,18.923864364624023
6010,1872,21.951642990112305
6020,1924,25.293010711669922
6030,1903,17.970815658569336
6040,1923,22.033029556274414
6050,1862,13.971912384033203
6060,1859,19.77950096130371
6070,1871,21.252708435058594
6080,1922,25.17622947692871
6090,1909,18.766061782836914
6100,1875,16.65636444091797
6110,1875,20.089035034179688
6120,1891,21.657865524291992
6130,1902,21.163375854492188
6140,1938,23.696924209594727
6150,1961,22.347427368164063
6160,1949,18.868579864501953
6170,1945,19.633102416992188
6180,1858,11.395686149597168
6190,1860,20.223600387573242
6200,1856,19.67885398864746
6210,1860,20.418228149414063
6220,1821,16.11710548400879
6230,1787,16.606002807617188
6240,1760,17.325305938720703
6250,1816,25.620811462402344
6260,1773,15.715953826904297
6270,1784,21.10634422302246
6280,1734,15.055177688598633
6290,1782,24.8541259765625
6300,1727,14.514622688293457
6310,1711,18.43224334716797
6320,1704,19.318714141845703
6330,1686,18.279390335083008
6340,1694,20.806072235107422
6350,1732,23.857393264770508
6360,1786,25.415939331054688
6370,1844,25.802377700805664
6380,1902,25.87698745727539
6390,1840,13.831367492675781
6400,1859,21.979816436767578
6410,1820,16.12141990661621
6420,1838,21.891510009765625
6430,1865,22.747539520263672
6440,1849,18.485305786132813
6450,1818,16.93559455871582
6460,1833,21.541458129882813
6470,1842,20.933914184570313
6480,1812,17.099971771240234
6490,1850,23.803871154785156
6500,1794,14.433895111083984
6510,1745,15.193008422851563
6520,1740,19.567975997924805
6530,1761,22.184736251831055
6540,1777,21.676021575927734
6550,1848,27.160215377807617
6560,1879,23.157026290893555
6570,1877,19.824787139892578
6580,1868,19.1013240814209
6590,1880,21.294410705566406
6600,1857,17.731386184692383
6610,1873,21.665637969970703
6620,1844,17.166959762573242
6630,1830,18.607654571533203
6640,1886,25.63904571533203
6650,1918,23.212797164916992
6660,1922,20.446638107299805
6670,1923,20.11610984802246
6680,1943,22.043094635009766
6690,1909,16.652172088623047
6700,1959,25.0560302734375
6710,1983,22.480594635009766
6720,1998,21.527570724487305
6730,2013,21.597705841064453
6740,1998,18.54549217224121
6750,1982,18.46219253540039
6760,1938,15.609430313110352
6770,1847,10.951118469238281
6780,1842,19.563915252685547
6790,1889,24.791088104248047
6800,1903,21.473979949951172
6810,1914,21.189836502075195
6820,1932,21.826404571533203
6830,1914,18.260303497314453
6840,1937,22.301164627075195
6850,1889,15.264384269714355
6860,1838,14.942646026611328
6870,1822,18.47631072998047
6880,1806,18.443750381469727
6890,1771,16.53536033630371
6900,1750,17.957542419433594
6910,1745,19.57811164855957
6920,1713,16.88754653930664
6930,1764,25.168067932128906
6940,1795,23.14940643310547
6950,1784,18.961584091186523
6960,1765,18.144868850708008
6970,1744,17.938156127929688
6980,1810,26.670120239257813
6990,1792,18.208641052246094
7000,1840,24.82292366027832
7010,1876,23.693532943725586
7020,1889,21.30747413635254
7030,1880,19.18247413635254
7040,1886,20.63559913635254
7050,1874,18.804487228393555
7060,1857,18.387474060058594
7070,1883,22.62641143798828
7080,1807,12.41008186340332
7090,1767,16.057506561279297
7100,1782,21.56865119934082
7110,1819,23.793785095214844
7120,1853,23.450031280517578
7130,1801,14.822805404663086
7140,1800,19.94768714904785
7150,1814,21.438186645507813
7160,1841,22.720809936523438
7170,1859,21.881196975708008
7180,1863,20.454980850219727
7190,1856,19.32553482055664
7200,1874,21.862892150878906
7210,1829,15.575736045837402
7220,1885,25.637239456176758
7230,1910,22.568828582763672
7240,1944,23.433584213256836
7250,1881,13.721345901489258
7260,1880,19.98370361328125
7270,1857,17.741540908813477
7280,1893,23.61375617980957
7290,1918,22.512195587158203
7300,1915,19.72745704650879
7310,1917,20.230676651000977
7320,1956,23.922035217285156
7330,1942,18.6599063873291
7340,1957,21.52737808227539
7350,1977,22.042648315429688
7360,1993,21.65274429321289
7370,2011,21.80011749267578
7380,1984,17.351713180541992
7390,1963,17.916889190673828
7400,1951,18.877817153930664
7410,1916,16.511842727661133
7420,1893,17.767276763916016
7430,1937,24.493453979492188
7440,1956,21.992807388305664
7450,1922,16.69747543334961
7460,1906,18.42878532409668
